;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cennik obowiązuje od dnia 7 lutego 2014 r.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Opakowanie jednostkowe;;;;;Karton wewnętrzny;;;;;Karton duży;;;;;;
Kod towaru;Nazwa artykułu;NOWOŚĆ;Cena netto katalogowa;;Kategoria;Podkategoria;Opis;Opis cech;Opis dodatkowy;Podstawowy materiał wykonania;Dodatkowy materiał wykonania;Kategoria zdobienia;Sugerowana technika zdobienia;Liczba kolorów;Długość obszaru;Szerokość obszaru;Długość produktu;Szerokość produktu;Wysokość produktu;Materiał wykonania opakowania;Rodzaj opakowania jedn.;Kolor opakowania jedn.;Baterie;Cechy specyficzne;Kolor podstawowy;Kolor dodatkowy;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Ilość w jednostkach podstawowych;Ilość na palecie wysyłkowej
R00167.10;Długopis Perfecto;;8,48 zł;;Piśmiennicze;Długopisy;Metalowy srebrny długopis ze stali nierdzewnej z chromowanymi wykończeniami. Wkład w kolorze niebieskim. Pakowany w woreczek foliowy.;;;metal;;L1;laser;1;40;6;10.0;10.0;135.0;folia;woreczek foliowy;bezbarwny;;;srebrny;;;;;;;1.2;1.1;160.0;160.0;70.0;12.0;11.0;350.0;320.0;190.0;500;24000
R00167.30.A;Pióro kulkowe Perfecto;;10,98 zł;;Piśmiennicze;Pióra kulkowe;Metalowe srebrne pióro kulkowe ze stali nierdzewnej z chromowanymi wykończeniami  i czarną końcówką. Wkład w kolorze czarnym. Pakowane w woreczek foliowy.;;;metal;;L1;laser;1;40;6;10.0;10.0;135.0;folia;woreczek foliowy;bezbarwny;;;srebrny;;;;;;;1.25;1.15;160.0;160.0;70.0;12.5;11.5;350.0;320.0;190.0;500;24000
R00172.10;Brilliant długopis czarny;;11,50 zł;;Piśmiennicze;Długopisy;Nowoczesny metalowy czarny błyszczący długopis z srebrnymi wykończeniami. Wkład w kolorze czarnym.  Pakowany w woreczek foliowy.;;;metal;;A3;tampodruk;4;37;6;12.0;12.0;135.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;0.04;0.04;135.0;15.0;12.0;0.4;0.38;140.0;140.0;20.0;20.0;19.0;440.0;310.0;150.0;500;24000
R00172.20;Brilliant pióro czarne;;12,80 zł;;Piśmiennicze;Pióra wieczne;Nowoczesne metalowe czarne błyszczące pióro na nabój, ze srebrnymi wykończeniami. Pakowane  w woreczek foliowy. Logo naniesiemy pod skuwką techniką tampodruku. ;;? 12;metal;;A3;tampodruk;4;37;6;135.0;15.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;0.04;0.04;135.0;15.0;12.0;0.4;0.38;140.0;140.0;20.0;20.0;19.0;440.0;310.0;150.0;500;24000
R00172.30;Brilliant pióro kulkowe czarne;;12,80 zł;;Piśmiennicze;Pióra kulkowe;Nowoczesne metalowe czarne błyszczące pióro kulkowe z srebrnymi wykończeniami. Pakowane w woreczek foliowy. Logo naniesiemy pod skuwką techniką grawerki tampodruku. ;;? 12;metal;;A3;tampodruk;4;37;6;135.0;15.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, srebrne wykończenia;czarny;;0.04;0.04;135.0;15.0;12.0;0.4;0.38;140.0;140.0;20.0;20.0;19.0;440.0;310.0;150.0;500;24000
R00331.10;Milord długopis srebrno-czarny błysk;;31,50 zł;;Piśmiennicze;Długopisy;Elegancki błyszczący srebrny metalowy długopis z czarnymi wykończeniami. Wkład w kolorze niebieskim. Pakowany pojedynczo w woreczek foliowy.;;? 12 mm;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;srebrny;;;;;;;0.56;0.54;160.0;220.0;20.0;16.9;16.2;340.0;240.0;460.0;360;4320
R00331.20;Milord pióro srebrno-czarne błysk;;34,50 zł;;Piśmiennicze;Pióra wieczne;Eleganckie błyszczące srebrne metalowe pióro wieczne. Czarne wykończenia.  Wyposażone w tłoczek do atramentu (możliwość użycia również naboju). Pakowane  pojedynczo w woreczek foliowy.;;? 12;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;błyszczący, czarne wykończenie;srebrny;;;;;;;0.56;0.54;160.0;220.0;20.0;15.0;14.0;350.0;330.0;240.0;360;4320
R00331.30;Milord pióro kulkowe srebrno-czarne błysk;;34,50 zł;;Piśmiennicze;Pióra kulkowe;Eleganckie błyszczące metalowe pióro kulkowe w kolorze srebrnym. Wkład w kolorze czarnym. Czarne wykończenia. Pakowane pojedynczo w woreczek foliowy.;;? 12 mm;metal;;L1;laser;1;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;srebrny;;;;;;;0.56;0.54;160.0;220.0;20.0;16.9;16.2;340.0;240.0;460.0;360;4320
R00332.10;Milord długopis czarny błysk;;31,50 zł;;Piśmiennicze;Długopisy;Elegancki błyszczący czarny metalowy długopis ze srebrnymi wykończeniami. Wkład w kolorze niebieskim. Pakowany pojedynczo w woreczek foliowy.;;? 12 mm;metal;;A3;tampodruk;4;40;7;135.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;0.56;0.54;160.0;220.0;20.0;16.9;16.2;340.0;240.0;460.0;360;4320
